   image:     PRI      VOI      GcE      BDE     
  100075:  0.855641   2.102227   0.242767   8.490049
  100080:  0.828490   1.409103   0.197235   15.203694
  100098:  0.714040   1.993623   0.175227   12.567399
  101085:  0.889674   3.559927   0.076071   5.477746
  101087:  0.948659   1.801880   0.108494   5.193456
  102061:  0.827749   1.941206   0.158635   13.681601
  103041:  0.869464   2.155027   0.200964   11.544884
  103070:  0.804962   2.815523   0.364000   9.016986
  104022:  0.833430   3.009631   0.173761   14.630426
  105019:  0.926075   0.515237   0.062388   11.849795
  105025:  0.832066   2.897286   0.191614   16.868132
  105053:  0.804110   1.071275   0.089885   9.013127
  106020:  0.808997   3.301955   0.097595   22.166172
  106024:  0.690336   2.926019   0.159243   19.724331
  106025:  0.901711   0.832171   0.083468   7.789755
  108005:  0.750427   3.287452   0.225680   9.996893
  108041:  0.700989   3.232205   0.313183   18.382988
  108070:  0.560947   3.391708   0.314647   31.176319
  108073:  0.546369   2.877171   0.274890   12.520973
  108082:  0.642353   3.694827   0.268497   16.250641
  109034:  0.743432   3.191148   0.214118   22.712162
  109053:  0.739631   3.409458   0.240196   12.183626
  112082:  0.785571   2.660861   0.162363   8.699717
  113009:  0.862652   2.582433   0.091064   9.295985
  113016:  0.792861   1.550671   0.153460   6.495757
  113044:  0.814751   1.911180   0.161199   8.323590
  117054:  0.740723   3.003296   0.135494   9.083280
  118020:  0.900264   2.225709   0.217051   6.050972
  118035:  0.896232   1.669825   0.093120   9.090308
  119082:  0.915677   3.302297   0.164766   7.805762
   12003:  0.748864   3.006148   0.094163   9.259956
   12074:  0.669453   1.843431   0.223263   15.189425
   12084:  0.526595   3.713771   0.274470   20.828953
  122048:  0.797712   2.622632   0.180875   13.789543
  123074:  0.814786   3.003618   0.206235   19.628763
  124084:  0.733336   3.194280   0.221162   6.242657
  126007:  0.936680   1.349433   0.100700   8.554979
  126039:  0.792295   2.970020   0.143397   9.754460
  130026:  0.497408   1.924487   0.349760   41.771538
  130034:  0.633389   1.813389   0.228709   26.059208
  134008:  0.805033   1.055967   0.149250   15.675428
  134035:  0.586915   3.520899   0.317311   21.462917
  134052:  0.777319   1.392216   0.130290   10.626064
  135037:  0.590540   1.830369   0.184628   19.033281
  135069:  0.981865   0.173901   0.016541   12.433077
  138032:  0.556670   3.228878   0.349693   34.361008
  138078:  0.886701   1.472621   0.080977   20.201942
  140055:  0.822378   3.076563   0.166089   13.367427
  140075:  0.862926   2.729467   0.119570   9.336392
   14037:  0.868835   1.868457   0.159193   15.191460
  143090:  0.840631   1.959367   0.097815   11.158768
  144067:  0.875092   2.224954   0.109492   11.725508
  145014:  0.884101   2.262327   0.198417   10.932890
  145053:  0.904775   2.524709   0.141655   9.938818
  145086:  0.883280   2.004050   0.065637   11.918389
  147021:  0.863776   1.322334   0.051175   15.640584
  147062:  0.732837   2.985728   0.144565   17.132565
  147091:  0.701406   2.850185   0.062897   10.940241
  148026:  0.828579   2.476713   0.129697   17.622477
  148089:  0.793580   3.905884   0.217714   10.318402
   15004:  0.887291   3.544117   0.175242   8.592915
   15088:  0.637963   1.505488   0.022634   29.379498
  151087:  0.848475   2.468411   0.136915   8.129981
  153077:  0.886522   2.722643   0.128112   7.200197
  153093:  0.821662   3.453584   0.201272   8.351183
  155060:  0.857214   2.390922   0.182192   11.666553
  156065:  0.646481   2.910692   0.180033   21.912197
  156079:  0.804013   2.066025   0.117109   5.399564
  157036:  0.775380   2.493694   0.089438   17.286726
  157055:  0.896760   2.214427   0.160127   6.677359
  159008:  0.636495   2.728158   0.284153   20.739828
  159029:  0.854581   3.223556   0.174645   12.975189
  159045:  0.798849   4.664169   0.138132   6.566857
  159091:  0.575161   2.896394   0.127850   16.871183
  160068:  0.863656   2.408012   0.085303   8.702335
   16052:  0.528878   2.313735   0.309872   37.260807
   16077:  0.803587   3.294317   0.191634   10.726420
  161062:  0.875616   1.234799   0.180560   11.343510
  163014:  0.949055   1.380251   0.109244   3.565417
  163062:  0.738611   2.761160   0.237870   10.532103
  163085:  0.638521   2.667072   0.378584   19.981668
  164074:  0.790601   3.058574   0.186699   17.201635
  166081:  0.862482   2.350885   0.194203   9.486184
  167062:  0.932451   0.624134   0.015737   30.567688
  167083:  0.788106   2.027597   0.233518   17.783796
  169012:  0.908128   3.268485   0.119344   8.250623
  170054:  0.818612   2.879350   0.289093   9.216716
  170057:  0.852675   3.812546   0.175932   10.159014
  172032:  0.950138   1.101021   0.064990   7.733614
  173036:  0.811269   2.587359   0.139381   15.970052
  175032:  0.748868   3.099885   0.265529   12.550979
  175043:  0.401378   3.349903   0.138068   28.981678
  176019:  0.785525   3.419329   0.176884   12.511218
  176035:  0.879533   1.726531   0.195593   7.627323
  176039:  0.888876   0.813966   0.089533   14.104050
  178054:  0.763164   1.831737   0.224463   50.848003
  181018:  0.823784   2.419115   0.271857   9.414909
  181079:  0.763581   2.799124   0.089388   9.278644
  181091:  0.875717   2.320772   0.070302   11.154196
  182053:  0.921054   2.430251   0.188265   10.011981
  183055:  0.868316   1.413204   0.093174   9.776346
  183087:  0.708014   2.152000   0.254111   25.349276
  187003:  0.779024   3.505920   0.284946   11.991191
  187029:  0.929880   1.706024   0.085627   11.227515
  187039:  0.716502   3.536386   0.070556   20.372763
  187071:  0.930992   1.437451   0.112687   12.809117
  187083:  0.660279   2.761516   0.288518   24.908951
  188005:  0.913044   2.058170   0.147797   11.571609
  188063:  0.711590   2.442940   0.104830   14.838133
  188091:  0.848153   0.955867   0.132863   10.304564
  189003:  0.751325   3.607646   0.124141   20.160152
  189011:  0.787117   2.971477   0.163975   10.638562
  189080:  0.868357   1.734553   0.127728   9.149833
   19021:  0.896278   2.634647   0.106354   8.662994
  196015:  0.761148   4.108633   0.157959   11.329260
  196073:  0.968455   0.244442   0.025032   12.784349
  197017:  0.828979   2.165315   0.075429   10.401155
  198004:  0.852356   2.611576   0.090854   7.259349
  198023:  0.949801   0.890827   0.108331   3.707544
  198054:  0.774109   3.639279   0.101188   13.517675
   20008:  0.848887   1.750531   0.175810   10.029994
  202012:  0.752985   3.876637   0.112216   10.084829
  207056:  0.680461   1.686776   0.127779   10.801838
  208001:  0.829630   3.607956   0.152766   8.662344
  209070:  0.828989   3.895622   0.229344   8.274443
    2092:  0.445879   1.916384   0.061081   16.499966
  210088:  0.531090   2.919593   0.144502   33.349602
   21077:  0.748451   2.469989   0.101148   7.579926
  216041:  0.841948   1.909862   0.077607   19.912245
  216053:  0.871012   1.760736   0.086339   12.971271
  216066:  0.825197   1.250948   0.115898   24.451344
  216081:  0.908858   3.160274   0.117055   5.016078
  219090:  0.844677   2.012390   0.227571   6.090428
  220075:  0.807455   3.702306   0.143960   11.261342
   22013:  0.743996   2.369274   0.278138   19.862421
   22090:  0.950398   1.653996   0.145594   4.352848
   22093:  0.876896   2.500704   0.081012   11.316479
  223061:  0.727050   2.280932   0.245170   16.444143
  225017:  0.812427   2.659192   0.102090   21.990582
  227040:  0.810665   1.795691   0.196190   14.334872
  227046:  0.793032   2.619129   0.090509   9.541263
  227092:  0.895290   1.270732   0.106210   7.097363
  229036:  0.682343   2.627786   0.168375   12.708587
   23025:  0.896371   1.838842   0.115843   9.595649
   23080:  0.892412   2.633895   0.146754   9.582174
   23084:  0.681462   3.622027   0.259532   11.015180
  231015:  0.842687   3.635902   0.103884   9.985012
  232038:  0.933826   1.874313   0.100869   6.766225
  236017:  0.659940   3.754911   0.188243   11.788696
  236037:  0.632601   3.755280   0.325298   17.376640
  238011:  0.885214   1.226246   0.039544   2.218811
  239007:  0.940875   2.139189   0.148970   4.804387
  239096:  0.836078   3.694478   0.150831   8.573515
   24004:  0.818237   2.051232   0.206582   14.229187
   24063:  0.834976   1.558443   0.149243   9.579309
   24077:  0.910810   3.348146   0.204155   7.841739
  241004:  0.887706   1.556058   0.169964   5.692338
  241048:  0.891079   2.205595   0.140399   5.636647
  242078:  0.825553   3.246255   0.176450   7.772210
  245051:  0.923135   2.049836   0.094044   4.933878
  246016:  0.887487   2.016965   0.153726   6.028563
  246053:  0.836666   2.659135   0.206100   12.797634
  247085:  0.846699   1.813157   0.129913   8.746387
  249061:  0.968484   0.906259   0.064002   5.563096
  249087:  0.759016   3.159577   0.210160   14.521010
   25098:  0.886725   3.199991   0.109307   10.353806
  253027:  0.548235   4.237508   0.121212   7.307958
  253036:  0.934387   0.437920   0.021607   2.976529
  253055:  0.713396   2.052460   0.079782   16.363625
  254033:  0.779779   2.681398   0.306361   16.422359
  254054:  0.774555   2.875580   0.116069   11.946064
  260058:  0.879347   1.434725   0.120430   27.259777
  260081:  0.802123   3.163138   0.267350   11.476204
   26031:  0.426615   3.371789   0.163413   19.635817
  268002:  0.464886   4.324590   0.067349   18.167128
   27059:  0.941282   2.135114   0.130588   7.204878
  271008:  0.779896   3.315434   0.107128   7.316072
  271031:  0.934410   0.432289   0.024558   17.882380
  271035:  0.849165   3.014483   0.219199   7.620668
  274007:  0.817971   3.294171   0.244057   10.616430
  277095:  0.823482   2.936523   0.256257   6.821872
   28075:  0.761336   1.284113   0.062850   16.022585
   28096:  0.880646   0.542746   0.010843   63.356373
  285036:  0.845998   3.512872   0.103555   9.204208
  285079:  0.749213   4.570976   0.116000   13.142864
  286092:  0.957761   1.479411   0.131325   4.348057
  291000:  0.730256   2.355050   0.117767   21.533178
  292066:  0.751074   2.785592   0.161544   13.498442
  293029:  0.727857   3.134673   0.151250   14.691785
  295087:  0.867231   2.219488   0.121402   6.430818
  296007:  0.913099   1.316914   0.159467   8.537054
  296059:  0.853000   2.451893   0.212042   6.789421
  299086:  0.790529   2.251345   0.246226   7.337987
  299091:  0.730916   1.630296   0.203935   37.049717
  300091:  0.648620   1.794133   0.098680   38.026112
  301007:  0.875790   3.041127   0.182148   9.320127
  302003:  0.890736   2.749815   0.131835   4.206422
  302008:  0.852421   2.614169   0.238320   5.416600
  304034:  0.694753   1.822136   0.064933   26.205547
  304074:  0.872041   2.801721   0.089964   15.605596
  306005:  0.787506   2.634537   0.215021   15.391912
  309004:  0.705733   3.409848   0.136547   14.747530
    3096:  0.835432   0.626350   0.037407   12.674230
